date,symbol,session,session_change,session_change_category,RSI_first,RSI_last,next_session,next_session_change,next_session_high_change,next_session_low_change
2022-10-16,EURUSD,Tokyo,0.25,0-0.5% increase,50.0,53.658536585365454,London,1.06,1.16,-0.09
2022-10-16,EURUSD,NYSE,0.02,0-0.5% increase,50.0,50.0,Tokyo,0.25,0.34,-0.0
2022-10-17,EURUSD,Tokyo,0.15,0-0.5% increase,50.0,57.632398753893554,London,0.28,0.48,-0.16
2022-10-17,EURUSD,London,1.06,1-2% increase,50.0,78.6552828175033,NYSE,0.43,0.57,-0.02
2022-10-17,EURUSD,NYSE,0.43,0-0.5% increase,50.0,49.193548387097046,Tokyo,0.15,0.36,-0.15
2022-10-18,EURUSD,Tokyo,-0.41,0-0.5% decrease,50.0,7.051282051278903,London,-0.58,0.07,-0.61
2022-10-18,EURUSD,London,0.28,0-0.5% increase,50.0,45.436507936507816,NYSE,0.24,0.27,-0.16
2022-10-18,EURUSD,NYSE,0.24,0-0.5% increase,50.0,59.48275862068916,Tokyo,-0.41,0.11,-0.46
2022-10-19,EURUSD,Tokyo,0.05,0-0.5% increase,50.0,61.87335092348313,London,0.11,0.65,-0.09
2022-10-19,EURUSD,London,-0.58,0.51-1% decrease,50.0,35.19206939281311,NYSE,-0.31,0.01,-0.45
2022-10-19,EURUSD,NYSE,-0.31,0-0.5% decrease,50.0,55.485232067509834,Tokyo,0.05,0.22,-0.19
2022-10-20,EURUSD,Tokyo,-0.18,0-0.5% decrease,50.0,48.80382775119626,London,0.87,1.14,-0.53
2022-10-20,EURUSD,London,0.11,0-0.5% increase,50.0,50.775915580384755,NYSE,-0.51,0.11,-0.63
2022-10-20,EURUSD,NYSE,-0.51,0.51-1% decrease,50.0,50.37220843672425,Tokyo,-0.18,0.04,-0.25
2022-10-21,EURUSD,London,0.87,0.51-1% increase,50.0,67.69394261424021,NYSE,0.88,0.95,-0.12
2022-10-21,EURUSD,NYSE,0.88,0.51-1% increase,50.0,76.3500931098708,Tokyo,0.88,,
2022-10-23,EURUSD,Tokyo,-0.34,0-0.5% decrease,50.0,64.77611940298485,London,0.38,0.6,-0.28
2022-10-23,EURUSD,NYSE,0.12,0-0.5% increase,50.0,50.0,Tokyo,-0.34,0.15,-0.6
2022-10-24,EURUSD,Tokyo,-0.12,0-0.5% decrease,50.0,13.924050632910209,London,0.98,1.21,-0.09
2022-10-24,EURUSD,London,0.38,0-0.5% increase,50.0,67.98336798336774,NYSE,0.03,0.24,-0.07
2022-10-24,EURUSD,NYSE,0.03,0-0.5% increase,50.0,50.574712643677714,Tokyo,-0.12,0.29,-0.15
2022-10-25,EURUSD,Tokyo,0.13,0-0.5% increase,50.0,66.71924290220855,London,0.37,0.45,-0.42
2022-10-25,EURUSD,London,0.98,0.51-1% increase,50.0,54.88505747126447,NYSE,0.16,0.3,-0.08
2022-10-25,EURUSD,NYSE,0.16,0-0.5% increase,50.0,57.540603248260254,Tokyo,0.13,0.22,-0.22
2022-10-26,EURUSD,Tokyo,-0.14,0-0.5% decrease,50.0,47.41784037558754,London,-0.7,0.03,-0.89
2022-10-26,EURUSD,London,0.37,0-0.5% increase,50.0,79.19254658385071,NYSE,0.52,0.61,-0.1
2022-10-26,EURUSD,NYSE,0.52,0.51-1% increase,50.0,53.315649867374674,Tokyo,-0.14,0.13,-0.25
2022-10-27,EURUSD,Tokyo,-0.11,0-0.5% decrease,50.0,11.244979919680574,London,0.04,0.49,-0.12
2022-10-27,EURUSD,London,-0.7,0.51-1% decrease,50.0,40.8700980392162,NYSE,-0.79,0.01,-0.85
2022-10-27,EURUSD,NYSE,-0.79,0.51-1% decrease,50.0,35.763097949886074,Tokyo,-0.11,0.35,-0.11
2022-10-28,EURUSD,London,0.04,0-0.5% increase,50.0,31.279069767441243,NYSE,0.06,0.09,-0.31
2022-10-28,EURUSD,NYSE,0.06,0-0.5% increase,50.0,74.15506958250494,Tokyo,0.06,,
2022-10-30,EURUSD,Tokyo,-0.33,0-0.5% decrease,50.0,18.959731543623676,London,-0.56,0.0,-0.74
2022-10-30,EURUSD,NYSE,-0.05,0-0.5% decrease,50.0,50.0,Tokyo,-0.33,0.09,-0.36
